Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Last Funding Amount,Total Funding Amount,Total Funding Rounds,Rank,is_us,company_age,is_tech_enabled,Days Since Last Funding Date,Days Since Last Touch Date,Days Since Last Pipeline Decline Date
378.0,377.0,0.0,1.07,1.62,2.17,,,0.0,0.0,1.0,29.0,1,,,
24.0,25.0,4.17,4.17,8.7,-3.85,5500000.0,8100000.0,4.0,4.0,1.0,8.0,1,724.0,,
161.0,162.0,0.0,4.52,-2.99,29.6,,12800000.0,4.0,2.0,1.0,25.0,1,1455.0,298.0,
26.0,27.0,0.0,-3.57,8.0,17.39,,2720000.0,3.0,8.0,1.0,7.0,1,1123.0,294.0,360.0
40.0,41.0,2.5,10.81,7.89,7.89,3000000.0,3000000.0,0.0,8.0,1.0,8.0,1,788.0,294.0,313.0
495.0,1545.0,0.72,2.25,4.6,7.37,,,0.0,0.0,0.0,36.0,0,,,
381.0,378.0,1.07,7.08,15.24,24.75,27000000.0,45000000.0,3.0,0.0,1.0,22.0,1,1083.0,316.0,
51.0,52.0,-3.7,-8.77,-11.86,-10.34,,,0.0,5.0,1.0,10.0,1,,294.0,859.0
30.0,31.0,-3.12,-11.43,-20.51,-18.42,2000000.0,3370000.0,4.0,6.0,1.0,13.0,1,2533.0,,
34.0,34.0,6.25,13.33,17.24,41.67,,850000.0,3.0,9.0,1.0,7.0,1,1354.0,294.0,920.0
28.0,28.0,0.0,7.69,3.7,40.0,,,0.0,4.0,1.0,7.0,1,,294.0,886.0
28.0,29.0,38.1,38.1,38.1,107.14,,,1.0,3.0,0.0,7.0,1,2059.0,,
3.0,4.0,0.0,0.0,-20.0,-20.0,120000.0,240000.0,3.0,0.0,1.0,6.0,1,1182.0,,
339.0,330.0,1.23,3.45,6.8,10.74,,,0.0,0.0,1.0,21.0,0,,,
2.0,3.0,0.0,0.0,-25.0,-40.0,150000.0,440000.0,5.0,0.0,0.0,9.0,1,976.0,316.0,
25.0,26.0,0.0,0.0,0.0,-7.14,8000000.0,8000000.0,1.0,6.0,1.0,4.0,1,1265.0,294.0,360.0
28.0,29.0,0.0,3.57,-14.71,-39.58,,,,5.0,1.0,7.0,1,,323.0,
13.0,14.0,0.0,-6.67,-33.33,-60.0,5500000.0,5500000.0,1.0,7.0,1.0,8.0,1,1412.0,294.0,844.0
25.0,26.0,4.0,0.0,0.0,4.0,10000000.0,14200000.0,2.0,9.0,1.0,6.0,1,922.0,294.0,419.0
49.0,49.0,0.0,0.0,-7.55,-7.55,20700000.0,35330000.0,4.0,6.0,1.0,6.0,1,1088.0,316.0,
5.0,6.0,0.0,0.0,0.0,-40.0,9000000.0,14220000.0,4.0,5.0,1.0,9.0,1,2193.0,,
137.0,95.0,0.0,1.06,2.15,-1.04,4010000.0,5990000.0,3.0,4.0,1.0,25.0,0,2490.0,,
18.0,19.0,11.76,11.76,11.76,26.67,,2100000.0,2.0,4.0,1.0,6.0,1,1102.0,323.0,
34.0,34.0,0.0,0.0,0.0,6.25,2300000.0,2300000.0,1.0,4.0,1.0,3.0,1,878.0,,
419.0,417.0,8.88,16.16,32.38,45.8,115000000.0,239440000.0,6.0,4.0,1.0,8.0,1,376.0,,
48.0,49.0,-3.92,-9.26,-19.67,-25.76,30000000.0,54239999.0,6.0,6.0,1.0,11.0,1,991.0,323.0,
30.0,30.0,0.0,0.0,15.38,30.43,5000000.0,9980000.0,5.0,6.0,0.0,3.0,1,543.0,323.0,
80.0,80.0,3.9,3.9,8.11,29.03,30000000.0,70000000.0,3.0,5.0,1.0,6.0,1,321.0,323.0,
19.0,20.0,-4.76,-16.67,-16.67,-25.93,5000000.0,5000000.0,2.0,6.0,1.0,6.0,1,775.0,294.0,425.0
10.0,11.0,0.0,-8.33,0.0,-8.33,100000.0,520000.0,4.0,0.0,1.0,5.0,1,916.0,,
9.0,10.0,0.0,11.11,25.0,100.0,120000.0,120000.0,1.0,0.0,1.0,7.0,1,1308.0,,
54.0,54.0,-6.9,-11.48,-8.47,17.39,,9000000.0,2.0,5.0,0.0,7.0,1,948.0,323.0,
138.0,96.0,2.13,5.49,11.63,29.73,,,0.0,4.0,1.0,,0,,,
77.0,78.0,0.0,6.85,11.43,13.04,15000000.0,38500000.0,5.0,5.0,1.0,7.0,1,628.0,294.0,347.0
79.0,80.0,0.0,1.27,-3.61,-33.88,35000000.0,51820000.0,6.0,9.0,1.0,10.0,1,1062.0,294.0,1096.0
347.0,,,,,9.52,21420000.0,39190000.0,3.0,0.0,1.0,20.0,1,697.0,,
347.0,,,,,12.54,30000000.0,36700000.0,3.0,0.0,0.0,15.0,1,601.0,,
346.0,,,,,6.52,50000000.0,94500000.0,8.0,0.0,1.0,15.0,1,1942.0,2103.0,
346.0,,,,,11.73,62000000.0,72000000.0,3.0,0.0,0.0,10.0,1,1348.0,316.0,
345.0,,,,,-7.55,30000000.0,64000000.0,5.0,0.0,1.0,13.0,1,2441.0,,
345.0,,,,,-1.15,,70950000.0,7.0,1.0,1.0,14.0,1,794.0,298.0,
343.0,,,,,4.24,,26400000.0,3.0,0.0,0.0,21.0,1,1048.0,2103.0,
341.0,,,,,1.48,15580000.0,39380000.0,6.0,0.0,0.0,14.0,1,2546.0,,
341.0,,,,,3.92,30000000.0,45300000.0,3.0,0.0,1.0,10.0,1,1927.0,,
338.0,,,,,8.95,,69000000.0,1.0,0.0,1.0,40.0,1,7063.0,,
337.0,,,,,6.37,40000000.0,67100000.0,3.0,0.0,1.0,6.0,1,1174.0,294.0,1174.0
337.0,,,,,158.78,50500000.0,64500000.0,3.0,0.0,1.0,6.0,1,759.0,294.0,
335.0,,,,,8.71,38000000.0,60740000.0,3.0,0.0,1.0,10.0,1,1027.0,,
334.0,,,,,-2.88,21000000.0,63750000.0,10.0,0.0,1.0,15.0,1,2188.0,294.0,
334.0,,,,,-11.75,5000000.0,42500000.0,7.0,0.0,0.0,10.0,1,481.0,,
332.0,,,,,-0.59,75000000.0,98500000.0,4.0,0.0,0.0,24.0,1,1533.0,316.0,
329.0,,,,,24.53,40000000.0,40000000.0,1.0,0.0,1.0,14.0,1,920.0,,
329.0,,,,,14.29,40000000.0,63540000.0,9.0,0.0,0.0,16.0,1,1747.0,316.0,
327.0,,,,,1.54,40000000.0,48900000.0,8.0,0.0,0.0,11.0,1,2064.0,,
326.0,,,,,12.89,40000000.0,79000000.0,4.0,0.0,1.0,11.0,1,1328.0,,
326.0,,,,,-6.9,55000000.0,55000000.0,1.0,0.0,0.5,18.0,1,3139.0,,
322.0,,,,,12.15,30000000.0,52600000.0,6.0,0.0,1.0,10.0,1,636.0,294.0,907.0
322.0,,,,,26.98,,34500000.0,0.0,0.0,1.0,17.0,1,,316.0,
321.0,,,,,13.68,27000000.0,28100000.0,2.0,0.0,1.0,16.0,1,1409.0,316.0,
319.0,,,,,-4.53,15000000.0,36600000.0,4.0,0.0,1.0,20.0,1,2952.0,,
317.0,,,,,18.59,40000000.0,96000000.0,6.0,0.0,1.0,12.0,1,2671.0,,
316.0,,,,,-17.19,30000000.0,97500000.0,8.0,0.0,1.0,13.0,1,3316.0,,
316.0,,,,,13.36,12000000.0,83800000.0,4.0,0.0,0.0,8.0,1,467.0,,
315.0,,,,,8.65,43000000.0,54710000.0,2.0,0.0,1.0,12.0,1,1117.0,,
314.0,,,,,-0.95,30000000.0,40120000.0,5.0,0.0,1.0,10.0,1,1314.0,,
313.0,,,,,0.96,25000000.0,92910000.0,11.0,0.0,1.0,16.0,1,2509.0,,
313.0,,,,,-16.18,85000000.0,98500000.0,2.0,0.0,1.0,10.0,1,1346.0,316.0,
313.0,,,,,-10.8,50000000.0,79000000.0,8.0,0.0,1.0,10.0,1,1432.0,,
312.0,,,,,35.22,,50000000.0,3.0,0.0,0.0,8.0,1,1061.0,,
311.0,,,,,-7.21,,54850000.0,11.0,0.0,1.0,12.0,1,1007.0,,
311.0,,,,,-0.64,21000000.0,49900000.0,5.0,0.0,1.0,28.0,1,3504.0,,
311.0,,,,,13.55,9750000.0,78210000.0,7.0,0.0,1.0,7.0,1,522.0,294.0,754.0
310.0,,,,,-15.99,,53000000.0,8.0,0.0,1.0,17.0,1,1535.0,,
309.0,,,,,1.98,4500000.0,26000000.0,7.0,0.0,0.0,11.0,1,3303.0,316.0,
309.0,,,,,80.36,30000000.0,52100000.0,4.0,0.0,0.0,8.0,1,363.0,,
308.0,,,,,6.99,8000000.0,53040000.0,6.0,0.0,1.0,16.0,1,1808.0,316.0,
306.0,,,,,-4.33,,,8.0,0.0,0.0,15.0,1,,316.0,
306.0,,,,,38.29,29610000.0,36910000.0,5.0,0.0,0.0,13.0,1,914.0,,
303.0,,,,,-2.57,50000000.0,80600000.0,3.0,0.0,0.0,12.0,1,1315.0,,
301.0,,,,,-0.66,20000000.0,93000000.0,4.0,0.0,1.0,10.0,1,573.0,298.0,
